1;123;33000;5500;0;11;3976;;38500;2016-04-11;2016-04-11;2016-09-20
2;149;135000;22500;0;45;42395;;157500;2016-08-01;2016-08-01;2016-09-20
3;193;33000;5500;0;11;41091;;38500;2016-04-11;2016-04-11;2016-09-20
4;284;117000;19500;0;39;42117;;136500;2016-07-06;2016-07-06;2016-09-20
5;299;423000;70500;0;141;3852;;493500;2016-02-18;2016-02-18;2016-09-20
6;315;39000;6500;0;13;42199;;45500;2016-07-13;2016-07-13;2016-09-20
7;337;15000;2500;0;5;41812;;17500;2016-06-09;2016-06-09;2016-09-20
8;381;90000;15000;0;30;40303;;105000;2016-02-05;2016-02-05;2016-09-20
9;394;39000;6500;0;13;42200;;45500;2016-07-13;2016-07-13;2016-09-20
10;558;123000;20500;0;41;4201;;143500;2016-07-25;2016-07-25;2016-09-20
11;564;103600;14800;0;37;3790;;118400;2016-01-28;2016-01-28;2016-09-20
12;583;108000;18000;0;36;41176;;126000;2016-04-18;2016-04-18;2016-09-20
13;598;9000;1500;0;3;40755;;10500;2016-03-14;2016-03-14;2016-09-20
